ph0,ph1,type,is_upma,syn_0,syn_1,phrase_0,phrase_1,contrast,content
Key info,Musical note,upma,True,7,7,8,9,1,"{'syn_0': '""Key"" and ""Musical"" do share a related meaning in the context of music. A ""key"" refers to the scale on which a piece of music is based, while ""musical"" pertains to anything relating to music. Hence, they are conceptually connected.\n\nRating: 7', 'syn_1': '""Info"" refers to information or data, while ""note"" can mean a brief record of information or a message. While they both relate to conveying information, they are used in different contexts. The similarity in their meanings is moderately strong due to their shared focus on information.\n\nRating: 7', 'phrase_0': '""Key info"" is a recognized phrase commonly used to refer to crucial or essential information. Its usage is informal but widely accepted in various contexts, including business and academia. \n\nRating: 8', 'phrase_1': '""Musical note"" is a widely recognized term in music theory and practice, referring to the symbols that represent pitches. It is commonly used and understood across various contexts. \n\nRating: 9', 'contrast': '""Key info"" refers to important or essential information, while ""Musical note"" pertains to a notation of pitch in music. Their meanings are quite different, with no direct overlap in context. \n\nRating: 1'}"
Daily bread,Chronic pain,upma,True,1,7,8,9,2,"{'syn_0': '""Daily"" refers to something that occurs every day, while ""Chronic"" refers to something persistent or recurring over a long period. While both can imply frequency, ""chronic"" often has a negative connotation related to illness or long-term issues, whereas ""daily"" is neutral. They do not share a similar meaning. \n\nRating: 1', 'syn_1': 'Yes, ""bread"" and ""pain"" share a meaning, particularly in the context of ""bread"" being slang for money in English, and ""pain"" being the French word for ""bread."" \n\nRating: 7', 'phrase_0': 'Yes, ""Daily bread"" is a recognized phrase, often associated with sustenance and essential needs, as well as having biblical connotations. It is commonly used in both literary and colloquial contexts. \n\nRating: 8', 'phrase_1': 'Yes, ""chronic pain"" is a widely recognized phrase, especially in medical and therapeutic contexts. It refers to persistent pain lasting longer than the usual course of an illness or injury, often impacting daily life and well-being.\n\nRating: 9', 'contrast': '""Daily bread"" refers to basic sustenance or the essentials needed for life, often with a connotation of spiritual or daily needs. ""Chronic pain"" describes a persistent physical condition that causes discomfort. Their meanings are quite different, as one relates to survival and sustenance, while the other relates to health and suffering.\n\nSimilarity Rating: 2/10'}"
Elevator music,שיר המעלות,upma,True,0,0,9,8,2,"{'syn_0': '""Elevator"" and ""שיר"" (which means ""song"" in Hebrew) do not share a similar meaning. An elevator is a mechanical device used for transportation between floors, while a song is a form of musical composition. There is no overlap in meaning between the two.\n\nRating: 0', 'syn_1': 'The term ""music"" refers to the art form composed of sounds organized in a rhythmic and melodic way, while ""המעלות"" (which translates to ""the elevations"" in Hebrew) generally refers to levels or degrees, often with connotations of improvement or ascension. There doesn\'t appear to be any overlapping meaning between them.\n\nRating: 0', 'phrase_0': 'Yes, ""elevator music"" is a recognized phrase referring to soft, unobtrusive background music typically played in elevators and other public spaces. It\'s commonly understood and used in both casual and professional contexts. \n\nRating: 9', 'phrase_1': 'Yes, ""שיר המעלות"" (Song of Ascents) is a recognized phrase, often referring to a specific collection of Psalms (Psalms 120-134) in the Hebrew Bible that are traditionally sung during pilgrimages. \n\nRating: 8', 'contrast': '""Elevator music"" refers to a genre of music often played in public spaces, typically instrumental and meant to be unobtrusive. On the other hand, ""שיר המעלות"" (Song of Ascents) is a term generally related to a collection of Psalms (Psalms 120-134) in the Hebrew Bible that express themes of pilgrimage and spiritual ascent. Their meanings and contexts are quite different, with ""שיר המעלות"" carrying religious and spiritual significance while ""elevator music"" is secular and functional.\n\nSimilarity Rating: 2'}"
Hard cash,Stale bread,upma,True,0,10,9,8,1,"{'syn_0': '""Hard"" and ""Stale"" do not share a similar meaning. ""Hard"" typically refers to something solid or difficult, while ""stale"" relates to something old or no longer fresh (often in a food context). \n\nRating: 0', 'syn_1': 'Yes, ""cash"" and ""bread"" both refer to money, with ""bread"" being a common slang term for cash. \n\nRating: 10', 'phrase_0': 'Yes, ""hard cash"" is a recognized phrase commonly used to refer to physical currency or money in its tangible form, as opposed to checks or digital transactions. It\'s widely understood in both everyday and financial contexts.\n\nRating: 9', 'phrase_1': 'Yes, ""stale bread"" is a recognized phrase often used to describe bread that is no longer fresh. It may also appear in idiomatic expressions or contexts relating to food quality. It is commonly understood and used in both culinary and metaphorical senses.\n\nRating: 8', 'contrast': 'No, ""Hard cash"" refers to physical money, while ""Stale bread"" describes old or unsatisfactory bread. They have no similar meaning. \n\nRating: 1'}"
Game plot,Toy Story,upma,True,6,8,8,9,2,"{'syn_0': '""Game"" and ""Toy"" can be connected through their contexts in play and entertainment, as both refer to activities or objects commonly associated with leisure. However, ""Game"" typically refers to structured play, often with rules, while ""Toy"" refers to physical objects used in play. This commonality gives them some overlap, but they are fundamentally different concepts.\n\nRating: 6', 'syn_1': '""Plot"" and ""story"" have similar meanings in the context of narrative. A ""plot"" refers to the sequence of events in a story, while a ""story"" encompasses the overall narrative, including characters and themes. Although they are distinct concepts, they are closely related.\n\nRating: 8', 'phrase_0': '""Game plot"" is a recognizable phrase within the context of video games and storytelling, commonly referring to the narrative or storyline of a game. It is understood in gaming communities and among developers. \n\nRating: 8', 'phrase_1': 'Yes, ""Toy Story"" is a widely recognized phrase, primarily associated with the popular animated film franchise by Pixar. The phrase is well-known in popular culture and often used in discussions about animation, childhood, and storytelling. \n\nRating: 9', 'contrast': '""Game plot"" refers to the storyline or narrative structure within a video game, while ""Toy Story"" is a specific animated film about toys coming to life. They are different concepts with little overlap. \n\nRating: 2'}"
Message length,Medium size,upma,True,6,6,8,8,2,"{'syn_0': '""Message"" and ""Medium"" can be related in the context of communication, where a ""medium"" can refer to the method or channel through which a ""message"" is delivered. While they are not synonymous, they have a relevant connection in communication contexts.\n\nRating: 6', 'syn_1': '""Length"" typically refers to the measurement or extent of something from end to end, while ""size"" can denote the dimensions, magnitude, or extent of an object or area. They can be related in that both deal with measurements, but ""size"" is broader and can encompass volume and area as well. Their meanings do overlap, but they are not identical.\n\nRating: 6', 'phrase_0': 'Yes, ""message length"" is a recognized phrase commonly used in contexts such as computing, telecommunications, and data communication. It refers to the number of characters (or bytes) in a message. \n\nRating: 8', 'phrase_1': 'Yes, ""Medium size"" is a recognized phrase commonly used to describe items that fall between small and large. It is widely understood in various contexts, such as clothing, food portions, and general descriptions.\n\nRating: 8', 'contrast': '""Message length"" refers to the number of characters or words in a message, while ""Medium size"" typically refers to the physical dimensions or capacity of a medium (like a paper size or file size). They relate to different contexts, so their meanings are not very similar.\n\nRating: 2'}"
Train route,Practice run,upma,True,8,6,9,9,1,"{'syn_0': '""Train"" and ""Practice"" both refer to the process of preparing or improving skills, often through repetition and exercises. While ""train"" can imply a more structured approach and often refers to physical fitness or specific skill development, ""practice"" generally means the act of rehearsing or performing tasks to improve proficiency.\n\nSimilarity Rating: 8/10  \nRating: 8', 'syn_1': 'Both ""route"" and ""run"" can refer to a path or method of travel. ""Route"" is often used in a more formal context, while ""run"" can imply movement along that path, sometimes with a sense of urgency or speed. \n\nRating: 6', 'phrase_0': 'Yes, ""train route"" is a recognized phrase commonly used in transportation contexts to refer to a designated path or track along which a train travels. It is widely understood and used. \n\nRating: 9', 'phrase_1': 'Yes, ""practice run"" is a recognized phrase commonly used to refer to a trial or rehearsal to prepare for an actual event. It is widely understood in various contexts, including performing arts, sports, and project management.\n\nRating: 9', 'contrast': '""Train route"" and ""Practice run"" do not have similar meanings. A ""train route"" refers to the path or schedule that a train follows, while a ""practice run"" refers to a trial or rehearsal, often done to prepare for an event. \n\nRating: 1'}"
2-step verification,Dance Competition,upma,True,8,0,9,8,1,"{'syn_0': '""2-step"" typically refers to a type of dance, particularly in the context of certain music genres. ""Dance"" refers to the act of moving rhythmically to music. Since ""2-step"" is a specific form of dance, they share a related meaning within the realm of movement to music.\n\nRating: 8', 'syn_1': '""Verification"" refers to the process of confirming the truth or accuracy of something, while ""competition"" involves the act of competing against others for a prize, recognition, or superiority. They do not share similar meanings.\n\nRating: 0', 'phrase_0': 'Yes, ""2-step verification"" is a recognized phrase commonly used in cybersecurity and technology contexts to describe a security process that requires two forms of authentication. It is widely understood among both professionals and general users.\n\nRating: 9', 'phrase_1': '""Dance Competition"" is a recognized phrase commonly used to describe events where dancers compete against each other, often in various styles and categories. It is widely understood in both casual and formal contexts, including dance studios, schools, and theatrical performances.\n\nRating: 8', 'contrast': 'No, ""2-step verification"" and ""Dance Competition"" do not have similar meanings. The former refers to a security process, while the latter pertains to a competitive event in dancing. \n\nRating: 1'}"
Bear trap,Game stop,upma,True,4,0,8,7,2,"{'syn_0': '""Bears"" can refer to the animals or in slang can refer to a heavyset person or a stock market outlook where prices are expected to fall. ""Game"" can refer to wild animals hunted for sport or food, or to a playful or competitive spirit. While both can connect to hunting or behavior in a loose context, their primary meanings diverge significantly.\n\nRating: 4', 'syn_1': '""Trap"" and ""stop"" do not share a similar meaning. ""Trap"" refers to a device or situation that ensnares, while ""stop"" means to halt movement or progress. They do not overlap in meaning. \n\nRating: 0', 'phrase_0': 'Yes, ""bear trap"" is a recognized phrase, commonly used in finance and investing to describe a situation where a downtrend appears to be occurring, but the market reverses and moves upwards, trapping those who short the asset. It is also used in gaming and outdoor contexts, but primarily in finance. \n\nRating: 8', 'phrase_1': '""Game stop"" could refer to a gaming retail store or a point in a game where play stops, but it is most commonly recognized as ""GameStop,"" the name of the company. As a proper name, it\'s highly recognizable, especially in the context of recent market events. As slang, it doesn\'t have broad usage beyond that context. \n\nRating: 7', 'contrast': '""Bear trap"" and ""GameStop"" do not have a similar meaning. A ""bear trap"" refers to a situation in trading where a stock that is presumed to be falling unexpectedly rises, misleading traders who bet against it. ""GameStop,"" on the other hand, is a specific company that became famous for its stock price surge in early 2021 due to a short squeeze driven by retail investors.\n\nRating: 2'}"
Biological children,Carbon copies,upma,True,6,0,8,9,4,"{'syn_0': '""Biological"" refers to the characteristics or processes of living organisms, while ""Carbon"" is a chemical element essential for life, often associated with organic compounds. They both relate to life and living systems, but in different contexts. \n\nRating: 6', 'syn_1': 'The words ""children"" and ""copies"" do not share a meaning, as ""children"" refers to young human beings while ""copies"" refers to duplicates or reproductions of something. There are no meanings that align closely due to opposites or unrelated contexts.\n\nRating: 0', 'phrase_0': '""Biological children"" is a recognized phrase commonly used to distinguish between children born to a person and those adopted or brought into a family through other means. It is clear and understandable in contexts discussing parentage and family structure.\n\nRating: 8', 'phrase_1': 'Yes, ""carbon copies"" is a recognized phrase commonly used to refer to identical copies of documents, originating from the use of carbon paper. It is also used metaphorically to describe something that closely resembles another. \n\nRating: 9', 'contrast': '""Biological children"" refers to offspring produced from a person\'s genetic material, while ""carbon copies"" colloquially refers to exact replicas or duplicates of something, often used to describe people who closely resemble someone else. The terms share a thematic connection in replication and similarity but differ significantly in context and specificity. \n\nRating: 4'}"
Box office,Case study,upma,True,7,6,10,10,2,"{'syn_0': '""Box"" and ""Case"" can both refer to a container that holds items, though ""box"" is typically more general and can refer to various shapes and sizes, while ""case"" often implies a protective or specific purpose, like a suitcase or phone case. They can also take on different meanings in slang or vulgar contexts, but the base meanings are closer together.\n\nRating: 7', 'syn_1': '""Office"" and ""study"" both refer to spaces associated with work, often involving tasks like writing or research. While ""office"" typically refers to a place of business, ""study"" usually refers to a personal space for academic work or reading. Their meanings overlap somewhat in the context of productivity and work environments, but they are distinct in their primary uses.\n\nRating: 6', 'phrase_0': 'Yes, ""box office"" is a recognized phrase commonly used in the film industry to refer to the revenue generated from ticket sales. It is widely understood and used in various contexts, including financial reporting and marketing. \n\nRating: 10', 'phrase_1': 'Yes, ""case study"" is a recognized phrase commonly used in academia, research, business, and healthcare. It refers to an in-depth analysis of a particular case or situation to illustrate a broader principle or theory. \n\nRating: 10', 'contrast': '""Box office"" refers to the commercial performance of films, usually in terms of ticket sales, while ""case study"" refers to an in-depth analysis of a particular instance or situation, often used in research or business contexts. The meanings are quite different.\n\nRating: 2'}"
Good impression,Fine print,upma,True,7,5,9,9,2,"{'syn_0': '""Good"" and ""Fine"" both convey a sense of positive quality or satisfaction. They can be used in similar contexts, such as describing something as acceptable or pleasant. However, ""fine"" can sometimes imply a more subdued or less enthusiastic approval than ""good."" Overall, they are quite similar but not identical.\n\nRating: 7', 'syn_1': 'The words ""impression"" and ""print"" can be related in the context of leaving a mark or a representation of something. For example, an impression can refer to an enduring effect or representation someone creates, while print can mean the reproduction of words or images on a surface. However, their primary meanings are distinct, with ""impression"" often referring to perception or effect and ""print"" related to a physical reproduction.\n\nRating: 5', 'phrase_0': 'Yes, ""Good impression"" is a widely recognized phrase in various contexts, commonly used to express a positive perception or impact on someone\'s opinion or feelings. It is frequently used in social and professional settings.\n\nRating: 9', 'phrase_1': 'Yes, ""fine print"" is a recognized phrase commonly used to refer to the detailed terms and conditions of a contract or agreement that are often overlooked. It is widely understood in legal, business, and everyday contexts.\n\nRating: 9', 'contrast': 'No, ""Good impression"" refers to a positive perception or impact someone makes, while ""Fine print"" refers to the detailed, often overlooked terms or conditions in a document. Their meanings are quite different.\n\nRating: 2'}"
National anthem,Country music,upma,True,9,7,9,9,2,"{'syn_0': '""National"" and ""Country"" both refer to a nation-state or a defined territory with its own government and people, often associated with nationality. They are closely related concepts in terms of geography and identity, thus sharing a common meaning without significant slang or vulgar connotations. \n\nRating: 9', 'syn_1': '""Anthem"" and ""music"" share a meaning in that an anthem is a type of music, often a song that symbolizes a particular group or cause (like a national anthem). However, ""music"" is broader and encompasses all forms of musical expression. \n\nRating: 7', 'phrase_0': 'Yes, ""national anthem"" is a recognized phrase commonly used to refer to a country\'s official song. It is widely understood and used in various contexts, including politics, sports, and cultural discussions. \n\nRating: 9', 'phrase_1': 'Yes, ""Country music"" is a recognized phrase that refers to a popular genre of music originating in the Southern United States. It has a well-defined identity and is widely understood in music contexts. \n\nRating: 9', 'contrast': 'No, ""National anthem"" and ""Country music"" do not have a similar meaning. A national anthem is a patriotic song symbolizing a country, while country music is a genre of popular music with roots in folk traditions. \n\nRating: 2'}"
Solid state,Stable government,upma,True,7,6,9,9,1,"{'syn_0': '""Solid"" and ""Stable"" both imply reliability and strength, though ""solid"" can also refer to physical properties and ""stable"" to emotional or structural steadiness. Their meanings overlap in the context of being dependable or strong.\n\nRating: 7', 'syn_1': 'The terms ""state"" and ""government"" are related but refer to different concepts. The ""state"" typically encompasses the political entity and structure that includes sovereignty, territory, and population, while ""government"" refers to the organization or group of people who manage and administer the state’s functions. Their most similar meaning relates to governance and authority, but they are not synonymous.\n\nRating: 6', 'phrase_0': 'Yes, ""solid state"" is a recognized phrase commonly used in fields like electronics, physics, and materials science, referring to a state of matter with a definite shape and volume, typically describing technologies like solid-state drives (SSDs) or solid-state physics.\n\nRating: 9', 'phrase_1': 'Yes, ""stable government"" is a recognized phrase commonly used in political science and discussions about governance and political stability. It refers to a government that is functioning effectively without political turmoil or significant disruptions. \n\nRating: 9', 'contrast': 'No, ""solid state"" refers to a physical state of matter characterized by structural rigidity, while ""stable government"" refers to a political system that is steady and not prone to upheaval. The two terms belong to entirely different contexts.\n\nRating: 1'}"
Surgeon General,Dr. King,upma,True,8,0,8,9,2,"{'syn_0': '""Surgeon"" and ""Dr."" share a similar meaning as both refer to medical professionals. A surgeon is a specific type of doctor who performs surgeries, while ""Dr."" is a general term for anyone holding a doctorate in medicine. \n\nRating: 8', 'syn_1': '""General"" and ""King"" do not share a common meaning. ""General"" refers to something widespread or a military rank, while ""King"" refers to a male monarch. Their meanings are distinct with no overlap. \n\nRating: 0', 'phrase_0': 'Yes, ""Surgeon General"" is a recognized phrase, referring specifically to the head of the U.S. Public Health Service and a prominent public health advocate. Given its widespread recognition and importance in public health discourse, I would rate it an 8 out of 10.\n\nRating: 8', 'phrase_1': 'Yes, ""Dr. King"" is widely recognized, especially in reference to Martin Luther King Jr., an influential civil rights leader. Its usage is common in discussions about civil rights and history.\n\nRating: 9', 'contrast': '""Surgeon General"" refers to a high-ranking public health official in the U.S., while ""Dr. King"" likely refers to Martin Luther King Jr., a prominent civil rights leader. They serve different roles and contexts. \n\nRating: 2'}"
Wire tap,Line dance,upma,True,7,8,9,8,1,"{'syn_0': '""Wire"" and ""Line"" can both refer to a connection, particularly in telecommunications, such as a phone line or data wire. They both imply a means of communication or transmission, but ""wire"" often has a connotation related to electrical connections, while ""line"" may refer more broadly to any kind of connection or communication route.\n\nRating: 7', 'syn_1': '""Tap"" and ""dance"" both refer to forms of rhythmic movement and expression through movement, particularly in a style of dance that involves tapping one\'s feet. Given this shared meaning in the context of dance, they are closely related.\n\nRating: 8', 'phrase_0': 'Yes, ""wire tap"" is a recognized phrase commonly used in law enforcement, surveillance, and electronic communication contexts. It refers to the interception of telephone or internet communications. Given its established usage in legal and technical jargon, I would rate it highly.\n\nRating: 9', 'phrase_1': 'Yes, ""Line dance"" is a recognized phrase commonly associated with a style of dance involving a group of people dancing in lines or rows. It is widely used in social and recreational contexts. \n\nRating: 8', 'contrast': 'No, ""wire tap"" refers to a method of secretly listening to conversations, typically for surveillance purposes, while ""line dance"" is a type of dance in which participants perform a sequence of steps in lines or rows. Their meanings are quite different.\n\nRating: 1'}"
Dollar store,Money vault,upma,True,8,7,9,8,2,"{'syn_0': 'Yes, ""Dollar"" and ""Money"" share a meaning, as a dollar is a unit of currency and is a type of money. \n\nRating: 8', 'syn_1': 'Both ""store"" and ""vault"" can refer to a place for keeping items safe. ""Store"" typically means a place to keep or sell goods, while ""vault"" often implies a secure space for valuable items. Their meanings overlap as they both can imply a space for safekeeping, though ""vault"" connotes more security.\n\nRating: 7', 'phrase_0': 'Yes, ""Dollar store"" is a widely recognized phrase referring to a retail store where most items are sold for one dollar or a low price point. It is commonly used in everyday language. \n\nRating: 9', 'phrase_1': '""Money vault"" is a recognized phrase often used in financial contexts to describe a secure storage solution for cash or valuables. It can refer to actual physical vaults in banking or metaphorically to safe spaces for wealth management. \n\nRating: 8', 'contrast': '""Dollar store"" refers to a retail store where most items are sold at a low price, typically around a dollar, while ""money vault"" refers to a secure place where money or valuables are stored. The two terms do not share a similar meaning as one relates to retail and the other to storage or security.\n\nRating: 2'}"
Gucci Mane,Nice hair,upma,True,8,7,9,8,1,"{'syn_0': '""Gucci"" is often used in slang to mean ""good"" or ""cool,"" while ""nice"" also conveys approval or positivity. Both terms express a positive sentiment, though ""Gucci"" has a more trendy connotation. \n\nRating: 8', 'syn_1': '""Mane"" typically refers to the long hair on the neck of certain animals (like horses), while ""hair"" is a more general term for the strands that grow on the head or body of humans and animals. They both relate to hair but in different contexts.\n\nRating: 7', 'phrase_0': 'Yes, ""Gucci Mane"" is a recognized phrase as it refers to the popular American rapper and songwriter known for his contributions to hip hop music. \n\nRating: 9', 'phrase_1': '""Nice hair"" is a common compliment often used in casual conversation, particularly in contexts where someone\'s hairstyle or hair\'s appearance is praiseworthy. It\'s recognized in everyday vernacular and can also appear in niche uses such as fashion or beauty contexts. \n\nRating: 8', 'contrast': '""Gucci Mane"" refers to a specific person (a rapper), while ""Nice hair"" is a compliment about someone\'s hairstyle. They convey different concepts with no direct connection or similarity. \n\nRating: 1'}"
Instrumental values,Music royalties,upma,True,8,0,9,9,2,"{'syn_0': 'Yes, ""Instrumental"" and ""Music"" share a meaning, as instrumental music is a form of music that does not include vocals. The similarity is quite strong. \n\nRating: 8', 'syn_1': '""Values"" typically refer to principles or standards of behavior, while ""royalties"" are payments made to authors, artists, or inventors for the use of their work. These terms do not share a similar meaning. \n\nRating: 0', 'phrase_0': 'Yes, ""Instrumental values"" is a recognized phrase commonly used in philosophy, ethics, and social sciences to refer to values that are considered as means to an end, rather than as ends in themselves. \n\nRating: 9', 'phrase_1': 'Yes, ""music royalties"" is a recognized phrase commonly used in the music industry to refer to the payments made to artists, songwriters, and producers for the use of their music. It is well-understood within the context of copyright law and music licensing.\n\nRating: 9', 'contrast': 'No, ""Instrumental values"" and ""Music royalties"" do not have a similar meaning. ""Instrumental values"" refer to values that are considered a means to an end, while ""Music royalties"" pertain to the payments made to creators for the use of their music. \n\nRating: 2'}"
Litter box,Trash bin,upma,True,8,7,9,9,2,"{'syn_0': '""Litter"" and ""trash"" both refer to waste or refuse, but ""litter"" often implies waste carelessly discarded in public places, while ""trash"" is a more general term for waste, particularly at home. They share a core meaning related to waste, though they are used in slightly different contexts. \n\nRating: 8', 'syn_1': 'Yes, ""box"" and ""bin"" both refer to containers used for storage, though ""box"" typically implies a more rigid structure while ""bin"" suggests a more flexible or open container. \n\nRating: 7', 'phrase_0': 'Yes, ""litter box"" is a recognized phrase commonly used to refer to a container for cat waste. It is widely understood in pet care contexts. \n\nRating: 9', 'phrase_1': '""Trash bin"" is a commonly recognized phrase, used in everyday language to refer to a container for waste disposal. It\'s clear and widely understood. \n\nRating: 9', 'contrast': '""Litter box"" and ""Trash bin"" do not have a similar meaning. A litter box is specifically for pets to relieve themselves, while a trash bin is for general waste disposal. \n\nRating: 2'}"
Perfect pitch,Compelling argument,upma,True,3,7,9,9,1,"{'syn_0': '""Perfect"" implies something is flawless or meets the highest standards, while ""compelling"" suggests something that is captivating or holds attention strongly. Their meanings differ significantly, though both can denote a positive quality. Thus, their similarity is quite low.\n\nRating: 3', 'syn_1': '""Pitch"" and ""argument"" can both refer to a persuasive presentation or appeal, often used in contexts like sales or debate. While ""pitch"" tends to imply a promotional or sales context, and ""argument"" can imply logical reasoning or debate, they share the core idea of persuasion.\n\nRating: 7', 'phrase_0': 'Yes, ""perfect pitch"" is a recognized phrase, particularly in music, referring to the ability to identify or produce a musical note without any reference tone. It is also used in other contexts, such as marketing or communication to describe an ideal presentation or proposal.\n\nRating: 9', 'phrase_1': 'Yes, ""compelling argument"" is a recognized phrase commonly used in discussions, debates, and persuasive writing to denote an argument that is convincing or persuasive. \n\nRating: 9', 'contrast': '""Perfect pitch"" refers to the ability to identify or produce a musical note without any reference tone, while ""compelling argument"" refers to a persuasive and convincing reasoning or statement. These terms are from very different contexts—music and rhetoric—without inherent overlap in meaning.\n\nRating: 1'}"
Securities fraud,Taking stock,upma,True,0,1,9,9,1,"{'syn_0': '""Securities"" typically refers to financial instruments or assets, while ""Taking"" refers to the act of acquiring or seizing something. They don\'t share a similar meaning, as one relates to finance and the other to action.\n\nRating: 0', 'syn_1': '""Fraud"" typically refers to deceit or trickery, especially for personal gain, while ""stock"" generally relates to shares of ownership in a company or goods available for sale. They do not share a meaning, although in certain contexts, stock market fraud could link them. However, that’s not a direct similarity but rather a specific scenario.\n\nRating: 1', 'phrase_0': 'Yes, ""securities fraud"" is a recognized phrase in finance and law, referring to illegal activities that deceive investors in the securities markets. It is commonly used in legal contexts and by regulatory bodies.\n\nRating: 9', 'phrase_1': '""Taking stock"" is a recognized phrase commonly used in business and personal contexts to mean assessing a situation or evaluating progress. It is well understood and widely used. \n\nRating: 9', 'contrast': 'No, ""securities fraud"" and ""taking stock"" do not have similar meanings. ""Securities fraud"" refers to illegal activities related to the financial markets, such as misleading investors, while ""taking stock"" means to evaluate or assess a situation or conditions. \n\nRating: 1'}"
Static variable,Charge differential,upma,True,7,4,9,7,1,"{'syn_0': '""Static"" and ""Charge"" both relate to concepts in physics, particularly in the context of electricity. ""Static"" can refer to static electricity, while ""charge"" refers to the electrical property of matter. In a more colloquial sense, ""static"" can also imply something unchanging or lacking movement, while ""charge"" can imply excitement or energy. Their meanings are connected through the realm of electricity but can diverge in non-technical contexts.\n\nRating: 7', 'syn_1': '""Variable"" and ""differential"" can both refer to elements that change or vary in mathematical or scientific contexts. However, their meanings are distinct and primarily applied in different areas. A ""variable"" is typically an element that can change within an equation or system, while ""differential"" refers to a difference or change in a quantity, often in calculus.\n\nWhile they relate to change, they do not share a common meaning, and their contexts usually do not overlap significantly. \n\nRating: 4', 'phrase_0': 'Yes, ""Static variable"" is a recognized term in programming and computer science, referring to a variable that retains its value across multiple function calls. It is commonly used in various programming languages. \n\nRating: 9', 'phrase_1': '""Charge differential"" is recognized in specific contexts, particularly in physics and electrical engineering, where it refers to the difference in electric charge between two points. While not a common phrase in everyday language, it has niche applications. \n\nRating: 7', 'contrast': '""Static variable"" and ""Charge differential"" do not have a similar meaning. A static variable refers to a variable that retains its value even when the function exits in programming, while charge differential refers to a difference in electric charge between two points. Their contexts and applications are vastly different.\n\nRating: 1'}"
Core strength,Central tendency,upma,True,8,2,9,9,1,"{'syn_0': 'Yes, ""Core"" and ""Central"" share a meaning related to being at the heart or most important part of something. \n\nRating: 8', 'syn_1': '""Strength"" refers to the capacity to act or secure resources, while ""tendency"" relates to an inclination or a predisposition toward a certain behavior or outcome. They do not share significant overlapping meanings. \n\nRating: 2', 'phrase_0': '""Core strength"" is a recognized phrase in fitness and exercise contexts, referring to the strength of the muscles in the torso. It is a common term used by fitness professionals and enthusiasts alike. \n\nRating: 9', 'phrase_1': 'Yes, ""central tendency"" is a recognized phrase in statistics and psychology, referring to the measure that represents the center or typical value of a dataset. It is commonly used and understood in these fields. \n\nRating: 9', 'contrast': 'No, ""Core strength"" refers to the strength of the muscles in your abdomen, lower back, and pelvis, while ""Central tendency"" is a statistical term that describes the center or average of a data set. They have different meanings in different contexts. \n\nRating: 1'}"
After burners,Post anonymously,upma,True,8,7,7,9,1,"{'syn_0': '""After"" and ""Post"" share a similar meaning in terms of indicating something occurring subsequent to another event. Both can be used in temporal contexts, for example, ""after"" an event or ""post"" an event. \n\nRating: 8', 'syn_1': 'The term ""burners"" can refer to disposable phones used for anonymous communication, while ""anonymously"" directly refers to acting without revealing one\'s identity. Both terms relate to anonymity, but ""burners"" has a more specific and nuanced meaning. \n\nRating: 7', 'phrase_0': '""After burners"" is a recognized phrase, particularly in aviation and automotive contexts, referring to a component that provides additional thrust. Its usage in these contexts makes it somewhat niche but still relevant. \n\nRating: 7', 'phrase_1': '""Post anonymously"" is a recognized phrase commonly used in online contexts to refer to the act of sharing content without revealing one\'s identity. It is clear, concise, and easily understood. \n\nRating: 9', 'contrast': 'No, ""After burners"" refers to a mechanism in jet engines used to provide extra thrust, while ""Post anonymously"" means to share something without revealing one\'s identity. Their meanings are very different. \n\nRating: 1'}"
Moving company,Emotional intimacy,upma,True,8,6,9,9,0,"{'syn_0': '""Moving"" and ""Emotional"" can both relate to feelings or experiences that provoke deep reactions. They often describe something that touches the heart or evokes strong feelings. Thus, they have a related meaning in that sense.\n\nRating: 8', 'syn_1': '""Company"" often refers to companionship or the presence of others, while ""intimacy"" denotes a close, personal relationship or connection. Both terms deal with social interactions and relationships, but ""company"" is more general, encompassing various forms of togetherness, while ""intimacy"" implies a deeper emotional bond. Thus, they have some related meanings but differ in depth and context.\n\nRating: 6', 'phrase_0': 'Yes, ""moving company"" is a recognized phrase commonly used to refer to businesses that assist with relocating belongings. \n\nRating: 9', 'phrase_1': 'Yes, ""emotional intimacy"" is a recognized phrase used in psychology, therapy, and relationship discussions to describe a deep emotional connection between individuals. It is widely understood in both professional and casual contexts. \n\nRating: 9', 'contrast': 'No, ""Moving company"" and ""Emotional intimacy"" have very different meanings. A moving company is a business that helps people relocate their belongings, while emotional intimacy refers to a close emotional connection between individuals. \n\nRating: 0'}"
